weight1,distance1,weight2,distance2
0,215,0,200
0.045,220,0.011,205
0.132,225,0.03,210
0.254,230,0.062,215
0.28,231,0.131,220
0.3,232,0.2255,225
0.328,233,0.289,226
0.36,234,0.317,227
0.39,235,0.35,228
0.437,236,0.392,229
0.45,237,0.43,230
0.512,238,0.473,231
0.542,239,0.519,232
0.587,240,0.555,233
0.631,241,0.613,234
0.673,242,0.661,235
0.709,243,0.701,236
0.755,244,0.735,237
0.826,245,0.813,238
0.885,246,0.866,239
0.946,247,0.919,240
1.028,248,1,241
1.108,249,1.056,242
1.215,250,1.119,243
1.235,251,1.18,244
1.381,252,1.289,245
1.435,253,1.362,246